filename,network,station,channel,trace_id,start_time,end_time,duration,sampling_rate,samples
GE.FAKI.BH.gfz2024tutg.mseed,GE,FAKI,BHN,GE.FAKI..BHN,2024-10-08T17:38:15.019539,2024-10-08T17:43:15.809539,300.79,100.0,30080
GE.FAKI.BH.gfz2024tutg.mseed,GE,FAKI,BHZ,GE.FAKI..BHZ,2024-10-08T17:38:15.019538,2024-10-08T17:43:15.809538,300.79,100.0,30080
GE.TNTI.BL.gfz2009czsb.mseed,GE,TNTI,BLE,GE.TNTI..BLE,2009-02-12T13:15:27.469538,2009-02-12T13:20:28.269538,300.8,100.0,30081
GE.TNTI.BL.gfz2009czsb.mseed,GE,TNTI,BLN,GE.TNTI..BLN,2009-02-12T13:15:27.469539,2009-02-12T13:20:28.259539,300.79,100.0,30080
GE.TNTI.BL.gfz2009czsb.mseed,GE,TNTI,BLZ,GE.TNTI..BLZ,2009-02-12T13:15:27.469538,2009-02-12T13:20:28.269538,300.8,100.0,30081
GE.UGM.BL.gfz2009bjnh.mseed,GE,UGM,BLE,GE.UGM..BLE,2009-01-20T10:50:37.719538,2009-01-20T10:55:38.509538,300.79,100.0,30080
GE.UGM.BL.gfz2009bjnh.mseed,GE,UGM,BLN,GE.UGM..BLN,2009-01-20T10:50:37.719538,2009-01-20T10:55:38.509538,300.79,100.0,30080
GE.UGM.BL.gfz2009bjnh.mseed,GE,UGM,BLZ,GE.UGM..BLZ,2009-01-20T10:50:37.719538,2009-01-20T10:55:38.509538,300.79,100.0,30080
GE.SANI.BL.gfz2023kcmg.mseed,GE,SANI,BLE,GE.SANI..BLE,2023-05-24T15:50:35.369538,2023-05-24T15:55:36.159538,300.79,100.0,30080
GE.SANI.BL.gfz2023kcmg.mseed,GE,SANI,BLN,GE.SANI..BLN,2023-05-24T15:50:35.369538,2023-05-24T15:55:36.159538,300.79,100.0,30080
GE.SANI.BL.gfz2023kcmg.mseed,GE,SANI,BLZ,GE.SANI..BLZ,2023-05-24T15:50:35.369538,2023-05-24T15:55:36.159538,300.79,100.0,30080
GE.JAGI.BH.gfz2024xkub.mseed,GE,JAGI,BHE,GE.JAGI..BHE,2024-11-29T04:49:28.069538,2024-11-29T04:54:28.859538,300.79,100.0,30080
GE.JAGI.BH.gfz2024xkub.mseed,GE,JAGI,BHN,GE.JAGI..BHN,2024-11-29T04:49:28.069538,2024-11-29T04:54:28.859538,300.79,100.0,30080
GE.JAGI.BH.gfz2024xkub.mseed,GE,JAGI,BHZ,GE.JAGI..BHZ,2024-11-29T04:49:28.069538,2024-11-29T04:54:28.859538,300.79,100.0,30080
GE.TNTI.BH.gfz2009pyad.mseed,GE,TNTI,BHE,GE.TNTI..BHE,2009-08-15T17:52:26.119538,2009-08-15T17:57:26.919538,300.8,100.0,30081
GE.TNTI.BH.gfz2009pyad.mseed,GE,TNTI,BHN,GE.TNTI..BHN,2009-08-15T17:52:26.119536,2009-08-15T17:57:26.909536,300.79,100.0,30080
GE.TNTI.BH.gfz2009pyad.mseed,GE,TNTI,BHZ,GE.TNTI..BHZ,2009-08-15T17:52:26.119538,2009-08-15T17:57:26.919538,300.8,100.0,30081
GE.SOEI.SH.gfz2013yfql.mseed,GE,SOEI,SHE,GE.SOEI..SHE,2013-12-11T14:50:02.768393,2013-12-11T14:55:03.558393,300.79,100.0,30080
